neutral.bin0,neutral.bin1,neutral.bin2,neutral.bin3,neutral.bin4,neutral.bin5,neutral.bin6,neutral.bin7,neutral.bin8,neutral.bin9,selected.bin0,selected.bin1,selected.bin2,selected.bin3,selected.bin4,selected.bin5,selected.bin6,selected.bin7,selected.bin8,selected.bin9
383538.57893011026,389411.1309922197,395920.92309826287,404133.42179625336,374657.74618484447,412986.0540259175,393528.28954294673,409280.4477612368,401661.84687497397,371274.4102059166,1640243.4749796132,1663933.4972816026,1658644.9489172855,1669213.2264495534,1532626.7980213927,1682828.4684520734,1574453.8168178364,1615741.2868613533,1577102.7440889904,1414192.9882285004
337.0238173319401,367.77578021677795,385.0222913575653,396.60090354879185,400.1474566580122,428.7876720522231,392.46980566553236,429.3976408531991,436.05346174355293,444.33102257691576,786.8001102519121,788.2331481655681,805.5101140071334,831.680789820535,820.7298188523201,816.3310173799754,794.6656713855574,814.2760719742366,815.7974613491539,863.9277321563488
138.0485664903133,147.38844396346676,163.20362278682333,166.95587438092306,151.23427384382546,170.96858573108605,155.19540473857327,171.52363817890296,170.13445291888715,172.86396367405865,276.73510620808355,260.3466976782239,270.18595865151394,300.88442951067344,243.56206947440967,273.97906367056294,248.98467533977578,263.513800744954,260.9933804467264,274.28835966024957
104.04014648632496,107.031488775301,114.56958266518295,115.6863427199307,100.16932813347731,114.7559176362492,106.2511607890695,110.9198343025502,112.98766532271422,115.45798500997388,190.36064413088812,173.1511408209927,174.96488367413252,197.17195262404107,157.95832030698952,172.87475500725787,148.6719599769615,164.02250710322213,158.86229380739516,171.54809274434265
87.00059885320736,90.1860476956396,89.13289587308721,84.52339485361512,78.05544715159337,84.03488310402335,81.55232135035001,85.14447770385306,88.29572792646432,90.99905601474443,151.55082045613977,132.69302985973272,133.56116672496898,140.42205192017428,120.47697258627336,126.1611696234814,111.30618478399352,124.39919861602434,114.08038380148969,128.0316323056054
74.79530660766918,77.41227928214775,71.81245360524622,68.66945962812667,62.83765037398484,69.11815938147419,65.46324656029434,71.71502098847718,73.925863161118,73.89143468086871,127.17488289479542,108.21360685392939,106.25395368155023,107.50911437905455,95.00500993360608,97.71018728065827,91.883809802491,100.07107042497746,87.93493668397758,101.60282150014842
66.39730487504016,66.86973299512752,58.7515584461204,59.003045827882616,51.100039719505,60.65850056034644,56.356268255021426,63.40801389235829,64.08795334937946,60.930204889185504,108.10925010296731,92.52422145477925,86.8545918374413,87.53710545808404,76.39670373173077,80.07608047949078,77.9284003075835,82.37430591297898,73.17663439615258,84.85182020945723
61.51308509586259,58.98376367116269,49.50034325565801,52.28700377236067,43.10807425613987,54.24102040292482,50.874009327923,56.788306167087505,56.02976255481119,51.19654990561536,92.51806250245453,80.148379870778,72.31793568600686,74.18488375105538,61.614413281069005,68.72785369326554,66.20352970405703,69.69712932561531,65.31184907425015,71.64780958552906
58.9813263432774,53.46667552586925,43.377965911985555,47.121346716273564,38.5146835760224,48.3326488369509,46.426334058711355,50.3599115397201,48.26932965978682,44.599956064874924,80.53912644659106,69.18524797699686,61.55691980472859,64.50308612569336,55.162658030409425,61.08935798826332,57.159173945656725,61.48713787019584,59.30721646044895,61.15792613638908
56.956313783122155,49.60584228417555,39.5637439762138,42.68178657280084,35.64596061736314,43.22848009312548,42.130929307410305,44.3837978336742,41.893925585079195,40.36402167291822,71.90832371084846,60.49543385651662,53.73453997936954,58.95142020381826,51.935132992860886,54.98846617329594,50.9551444359792,56.005596695785584,53.50329040766503,52.88304602582777
53.78772504717192,46.38746278437102,37.56518009201614,39.49695383577406,33.31471463715425,39.13625053141288,38.16204875916253,39.59032883088549,38.10317610196358,37.48755832719133,65.05544542405467,55.28742902530758,48.244272256363736,53.11545733819238,49.61810289303098,49.28024203377577,47.448212240258314,51.46017940565976,48.126692253598854,46.26979771360895
49.010509151804314,43.18661661059567,36.79483925708113,36.69812323703594,31.175558599248728,36.07299097537771,34.91150853913547,36.17856008005862,36.030793810469696,35.12534986608678,58.23233991208491,53.32433185435964,44.59412848068914,50.40763161052815,47.42374524682781,43.95485947983235,44.632739187815396,47.061140202435276,42.7471008655917,41.06342856689301
43.18687861537963,40.14852835022662,36.083629376939406,33.893006287868154,28.770533071943202,33.94323146910548,32.507455233411925,33.75522298030029,34.56150041493956,32.91173186167256,51.091620910722206,53.00488835300094,42.30202873752271,46.30827534759486,44.35045555834984,39.172202171938316,41.246327695003636,42.783816968393616,38.29361671623465,37.47315388849554
37.51902412230626,37.69646552397567,34.09172485050343,31.334987282477403,26.331238827902222,32.15092477532716,30.366627312729914,31.801803345344858,32.692525891943035,30.797105612675587,44.58545917123909,52.45402810108978,40.78957038290264,43.478831388354415,41.19317005492825,35.19058428707939,37.08893761600428,38.54622857304434,35.265528696922935,35.85657545388579
32.496090195864724,35.80164798718265,30.582157361731547,29.64364513046855,24.637252309950703,30.28514042056654,28.254571663766438,30.11757333666286,30.3899662222447,28.619451004479696,39.62525113888524,50.466978167578006,39.54133924465402,41.3574578274574,35.68548376632426,32.52595802561369,33.16083989401008,34.36546825966126,33.11192271534888,36.475975833818154
27.691889009590955,33.77331825865834,26.80985276965821,28.91885519767583,23.916008122117656,28.807374169752727,25.234360633284297,28.589582994740738,28.265104119457217,26.36956829695127,35.99153232755857,46.75875490514235,38.32742838346798,40.35100144831972,32.68075520351873,31.34866226020081,30.490804333870148,30.711852252031306,31.638748208580115,36.26294412448333
23.13361535509594,30.689533407437697,24.01912016003026,26.848790514394757,24.854201994612897,28.393937938045728,22.52941058235238,27.049451649846663,26.26947649146893,25.622902917715763,32.167383221277504,41.645362115987005,37.913685196396855,35.7575820952665,32.38497246272644,30.633520905111777,29.208061849280366,27.810101936298025,31.149472129949864,33.67205795740211
19.020071188383294,26.411957611926262,22.218131631462413,22.880453205082333,25.515916947871144,28.423862507994087,20.98909992409445,26.108143291908036,24.123720638302515,24.905028755183544,26.657470064188416,35.94050380612228,35.106936622589,31.287370167197032,32.97701020241542,29.611054340687435,29.146925668487178,25.602481163150046,31.360193861425024,30.988178541356664
15.308698493795733,21.849716087091153,21.12545206997995,19.82123856617638,25.17387277779613,26.36728267043752,19.76028882015682,23.475354684283303,22.389078482272268,23.483553722043897,20.15340745082821,30.141022963338976,30.8895258777172,28.212974112083995,34.724767568291576,29.207299499007654,27.73638809079734,25.393040485379633,30.589346295594932,27.237802251466228
11.704706247396514,16.653472476850435,18.56643094013224,18.13701479116491,22.83163884759548,20.823151503225965,17.871245619193537,19.920140334098857,20.73250325931106,20.081230079517702,16.503391744899368,24.43467007051846,24.2567950009791,25.112483938608264,33.636709642011645,27.667326691019777,23.870398652960915,25.63677540061164,27.23385344835736,26.179137371091812
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
